1,Bank darah,Tes Coomb's direk,Permintaan & Hasil,Darah,Ordinal,,,1007-4,Direct antiglobulin test.polyspecific reagent [Presence] on Red Blood Cells,Direct antiglobulin test.polyspecific reagent,PrThr,Pt,RBC,Ord,,,http://loinc.org
2,Bank darah,Tes Coomb's indirek,Permintaan & Hasil,Darah,Ordinal,,,1003-3,Indirect antiglobulin test.complement specific reagent [Presence] in Serum or Plasma,Indirect antiglobulin test.complement specific reagent,PrThr,Pt,Ser/Plas,Ord,,,http://loinc.org
3,Bank darah,Cross Match,Permintaan,Darah,Nominal,,,34531-4,Blood type and Crossmatch panel - Blood,Blood type & Crossmatch panel,-,Pt,Bld,-,,,http://loinc.org
4,Bank darah,Cross Match,Hasil,Darah,Nominal,,,1250-0,Major crossmatch [Interpretation],Major crossmatch,Imp,Pt,Ser/Plas,Nom,,,http://loinc.org
5,Bank darah,Inkompatibilitas ABO,Permintaan & Hasil,Darah,Ordinal,,,890-4,Blood group antibody screen [Presence] in Serum or Plasma,Blood group antibody screen,PrThr,Pt,Ser/Plas,Ord,,,http://loinc.org
6,Bank darah,Titer Anti-ABO,Permintaan & Hasil,Darah,Quantitative,,,X099080,Titer Anti-ABO,,,Pt,Bld,Qn,,,http://terminology.kemkes.go.id/CodeSystem/examination
7,Bank darah,Golongan darah (konfirmasi),Permintaan & Hasil,Darah,Nominal,,,57743-7,ABO group [Type] in Blood by Confirmatory method,ABO group,Type,Pt,Bld,Nom,Confirm,,http://loinc.org
8,Hematologi,Pewarnaan besi,Permintaan & Hasil,Sumsum tulang,Nominal,,Potassium ferrocyanide stain,13513-7,Iron.microscopic observation [Identifier] in Bone marrow by Potassium ferrocyanide stain,Iron.microscopic observation,Prid,Pt,Bone mar,Nom,Potassium ferrocyanide stain,,http://loinc.org
9,Hematologi,Peroxidase (POX),Permintaan & Hasil,Sumsum tulang,Nominal,,Peroxidase stain,11018-9,Microscopic observation [Identifier] in Blood or Marrow by Peroxidase stain,Microscopic observation,Prid,Pt,Bld/Bone mar,Nom,Peroxidase stain,,http://loinc.org
10,Hematologi,Sudan B Black,Permintaan & Hasil,Sumsum tulang,Nominal,,Sudan black B stain,11019-7,Microscopic observation [Identifier] in Blood or Marrow by Sudan black B stain,Microscopic observation,Prid,Pt,Bld/Bone mar,Nom,Sudan black B stain,,http://loinc.org
11,Hematologi,Sugar Water Test/Sucrose Water Test,Permintaan,Serum,Quantitative,%,,X099081,Sugar Water Test/Sucrose Water Test,,,Pt,Ser/Plas,Qn,,%,http://terminology.kemkes.go.id/CodeSystem/examination
12,Hematologi,Sugar Water Test/Sucrose Water Test,Hasil,Serum,Quantitative,%,,13535-0,Sucrose hemolysis of Red Blood Cells,Sucrose hemolysis,NFr,Pt,RBC,Qn,,%,http://loinc.org
13,Hematologi,Ham's Test,Permintaan & Hasil,Serum/Plasma,Ordinal,,,13533-5,Acid hemolysis [Presence] of Blood,Acid hemolysis,PrThr,Pt,Bld,Ord,,,http://loinc.org
14,Hematologi,Tartrate-resistant acid phosphatase stain (TRAP),Permintaan & Hasil,Sumsum tulang,Nominal,,,11020-5,Microscopic observation [Identifier] in Blood or Marrow by Tartrate-resistant acid phosphatase stain,Microscopic observation,Prid,Pt,Bld/Bone mar,Nom,Tartrate-resistant acid phosphatase stain,,http://loinc.org
15,Hematologi,Tzanck cell,Permintaan & Hasil,Darah,Nominal,,Tzanck smear,45043-7,Microscopic observation [Identifier] in Specimen by Tzanck smear,Microscopic observation,Prid,Pt,XXX,Nom,Tzanck smear,,http://loinc.org
16,Hematologi,Haptoglobin,Permintaan & Hasil,Serum/Plasma,Quantitative,mg/dL,,4542-7,Haptoglobin [Mass/volume] in Serum or Plasma,Haptoglobin,MCnc,Pt,Ser/Plas,Qn,,mg/dL,http://loinc.org
17,Hematologi,Haptoglobin,Permintaan & Hasil,Serum/Plasma,Quantitative,mg/dL,Electrophoresis,4543-5,Haptoglobin [Mass/volume] in Serum or Plasma by Electrophoresis,Haptoglobin,MCnc,Pt,Ser/Plas,Qn,Electrophoresis,g/dL,http://loinc.org
18,Hematologi,Haptoglobin,Permintaan & Hasil,Serum/Plasma,Quantitative,mg/dL,Nephelometry,46127-7,Haptoglobin [Mass/volume] in Serum or Plasma by Nephelometry,Haptoglobin,MCnc,Pt,Ser/Plas,Qn,Nephelometry,g/dL,http://loinc.org
19,Hematologi,Badan inklusi Hb H,Permintaan,Darah,Ordinal,,,X099082,Badan inklusi Hb H,,,Pt,Bld,Ord,,,http://terminology.kemkes.go.id/CodeSystem/examination
20,Hematologi,Badan inklusi Hb H,Hasil,Darah,Ordinal,,,59185-9,Hemoglobin H inclusion bodies [Presence] in Blood,Hemoglobin H inclusion bodies,PrThr,Pt,Bld,Ord,,,http://loinc.org
21,Hematologi,Anti trombin III,Permintaan & Hasil,Serum/Plasma,Quantitative,%,Chromogenic,27811-9,Antithrombin actual/normal in Platelet poor plasma by Chromogenic method,Antithrombin actual/Normal,RelCCnc,Pt,PPP,Qn,Chromo,%,http://loinc.org
22,Hematologi,Anti Xa,Permintaan & Hasil,Serum/Plasma,Quantitative,IU/mL,,31159-7,Heparin anti Xa [Units/volume] in Nonbiological fluid,Heparin anti Xa,ACnc,Pt,Flu.nonbiological,Qn,,[arb'U]/mL,http://loinc.org
23,Hematologi,Waktu perdarahan (Ivy),Permintaan & Hasil,Darah,Quantitative,menit,Ivy,3179-9,Bleeding time by Ivy method,Bleeding time,Time,Pt,^Patient,Qn,Ivy,min,http://loinc.org
24,Hematologi,Waktu perdarahan (Duke),Permintaan & Hasil,Darah,Quantitative,menit,Duke,3178-1,Bleeding time by Duke method,Bleeding time,Time,Pt,^Patient,Qn,Duke,min,http://loinc.org
25,Hematologi,Protrombine Time (PT),Permintaan & Hasil,Serum/Plasma,Quantitative,detik,,5902-2,Prothrombin time (PT),Coagulation tissue factor induced,Time,Pt,PPP,Qn,Coag,s,http://loinc.org
26,Hematologi,Protrombine Time (PT),Permintaan & Hasil,Plasma,Quantitative,detik,Viscosity based,5964-2,Prothrombin time (PT) in Blood by Coagulation assay,Coagulation tissue factor induced,Time,Pt,Bld,Qn,Coag,s,http://loinc.org
27,Hematologi,Protrombine Time (PT),Permintaan & Hasil,Darah,Quantitative,detik,Foto Optical,5964-2,Prothrombin time (PT) in Blood by Coagulation assay,Coagulation tissue factor induced,Time,Pt,Bld,Qn,Coag,s,http://loinc.org
