00,"Procedures and interventions, Not Elsewhere Classified",ICD9CM_2010
00.0,Therapeutic ultrasound,ICD9CM_2010
00.01,Therapeutic ultrasound of vessels of head and neck,ICD9CM_2010
00.02,Therapeutic ultrasound of heart,ICD9CM_2010
00.03,Therapeutic ultrasound of peripheral vascular vessels,ICD9CM_2010
00.09,Other therapeutic ultrasound,ICD9CM_2010
00.1,Pharmaceuticals,ICD9CM_2010
00.10,Implantation of chemotherapeutic agent,ICD9CM_2010
00.11,Infusion of drotrecogin alfa (activated),ICD9CM_2010
00.12,Administration of inhaled nitric oxide,ICD9CM_2010
00.13,Injection or infusion of nesiritide,ICD9CM_2010
00.14,Injection or infusion of oxazolidinone class of antibiotics,ICD9CM_2010
00.15,High-dose infusion interleukin-2(il-2),ICD9CM_2010
00.16,Pressurized treatment of venous bypass graft (conduit) with pharmaceutical substance,ICD9CM_2010
00.17,Infusion of vasopressor agent,ICD9CM_2010
00.18,Infusion of immunosuppressive antibody therapy during induction phase of solid organ transplantation,ICD9CM_2010
00.19,Disruption of blood brain barrier via infusion (bbbd),ICD9CM_2010
00.2,Intravascular imaging of blood vessels,ICD9CM_2010
00.21,Intravascular imaging of extracranial cerebral vessels,ICD9CM_2010
00.22,Intravascular imaging of intrathoracic vessels,ICD9CM_2010
00.23,Intravascular imaging of peripheral vessels,ICD9CM_2010
00.24,Intravascular imaging of coronary vessels,ICD9CM_2010
00.25,Intravascular imaging of renal vessels,ICD9CM_2010
00.28,Intravascular imaging of other specified vessels,ICD9CM_2010
00.29,"Intravascular imaging, unspecified vessel(s)",ICD9CM_2010
00.3,Computer assisted surgery [CAS],ICD9CM_2010
00.31,Computer assisted surgery with CT/CTA,ICD9CM_2010
00.32,Computer assisted surgery with MR/MRA,ICD9CM_2010
00.33,Computer assisted surgery with fluoroscopy,ICD9CM_2010
00.34,Imageless computer assisted surgery,ICD9CM_2010
00.35,Computer assisted surgery with multiple datasets,ICD9CM_2010
00.39,Other Computer assisted surgery,ICD9CM_2010
00.4,Adjunct Vascular System Procedures,ICD9CM_2010
00.40,"Adjunct vascular system procedures,Procedure on single vessel",ICD9CM_2010
00.41,"Adjunct vascular system procedures, procedure on two vessels",ICD9CM_2010
00.42,"Adjunct vascular system procedures,Prosedure on three vessels",ICD9CM_2010
00.43,"Adjunct vascular system procedures,Procedure on four or more vessels",ICD9CM_2010
00.44,"Adjunct vascular system procedures,Procedure on vessel bifurcation",ICD9CM_2010
00.45,"Adjunct vascular system procedures,Insertion of one vascular stent",ICD9CM_2010
00.46,"Adjunct vascular system procedures,Insertion of two vascular stents",ICD9CM_2010
00.47,"Adjunct vascular system procedures,Insertion of three vascular stents",ICD9CM_2010
00.48,"Adjunct vascular system procedures,Insertion of four or more vascular stents",ICD9CM_2010
00.49,SuperSaturated oxygen therapy,ICD9CM_2010
00.5,Other cardiovascular procedures,ICD9CM_2010
00.50,"Implantation of cardiac resynchronization pacemaker without mention of defibrillation, total system (CRT-P)",ICD9CM_2010
00.51,"Implantation of cardiac resynchronization defibrillation, total system (CRT-D)",ICD9CM_2010
00.52,Implantation or replacement of transvenous lead (electrode) into left ventricular coronary venous system,ICD9CM_2010
00.53,Implantation or replacement of cardiac resynchronization pacemaker pulse generator only (CRT-P),ICD9CM_2010
00.54,Implantation or replacement of cardiac resynchronization defibrillation pulse generator device only (CRT-D),ICD9CM_2010
00.55,Insertion of drug-eluting peripheral vessels stent(s),ICD9CM_2010
00.56,Insertion or replacement of implantable pressure sensor (lead) for intracardiac hemodynamic monitoring,ICD9CM_2010
00.57,Implantation or replacement of subcutaneous device for intracardiac hemodynamic monitoring,ICD9CM_2010
00.58,Insertion of intra-aneurysm sac pressure monitoring device (intraoperative),ICD9CM_2010
00.59,Intravascular pressure measurement o coronary arteries,ICD9CM_2010
00.6,Procedures on blood vessels,ICD9CM_2010
00.61,Percutaneous angioplasty or atherectomy of precerebral(extracranial)vessel(s),ICD9CM_2010
00.62,Percutaneous angioplasty or atherectomy intracranial vessel,ICD9CM_2010
00.63,Percutaneous insertion of carotid artery stent(s),ICD9CM_2010
00.64,Percutaneous insertion of other precerebral(extracranial)artery stent(s),ICD9CM_2010
00.65,Percutaneous insertion of intracranial vascular stent(s),ICD9CM_2010
00.66,Parcutaneous transluminal coronary angioplasty (PTCA) or coronary atherectomy,ICD9CM_2010
00.67,Intravascular pressure measurement of intrathoracic arteries,ICD9CM_2010
00.68,Intravascular pressure measurement of peripheral arteries,ICD9CM_2010
00.69,Intravascular pressure measurement of other specified and unspecified vessels,ICD9CM_2010
00.7,Other hip procedures,ICD9CM_2010
00.70,"Revision of hip replacement, both acetabular and femoral components",ICD9CM_2010
00.71,"Revision of hip replacement, acetabular component",ICD9CM_2010
00.72,"Revision of hip replacement,femoral component",ICD9CM_2010
00.73,"Revision of hip replacement, acetabular liner and/or femoral head only",ICD9CM_2010
00.74,"Hip bearing surface, metal on polyethylene",ICD9CM_2010
00.75,"Hip bearing surface, metal-on-metal",ICD9CM_2010
00.76,"Hip bearing surface, ceramic-on-ceramic",ICD9CM_2010
00.77,"Hip bearing surface, ceramic on polyethylene",ICD9CM_2010
00.8,Other knee and hip procedures,ICD9CM_2010
00.80,"Revision of knee replacement, total (all components)",ICD9CM_2010
00.81,"Revision of knee replacement, tibial component",ICD9CM_2010
00.82,"Revision of knee replacement, femoral component",ICD9CM_2010
00.83,"Revision of knee replacement,patellar component",ICD9CM_2010
00.84,"Revision of total knee replacement, tibial insertion (liner)",ICD9CM_2010
00.85,"Resurfacing hip, total, acetabulum and femoral head",ICD9CM_2010
00.86,"Resurfacing hip, partial, femoral head",ICD9CM_2010
00.87,"Resurfacing hip,partial, acetabulum",ICD9CM_2010
00.9,Other procedures and interventions,ICD9CM_2010
00.91,Transplant from live related donor,ICD9CM_2010
00.92,Transplant from live non-related donor,ICD9CM_2010
00.93,Transplant fron cadaver,ICD9CM_2010
00.94,Intra-operative neurophysiologic monitoring,ICD9CM_2010
01,"Incision and excision of skull, brain, and cerebral meninges",ICD9CM_2010
01.0,Cranial puncture,ICD9CM_2010
01.01,Cisternal puncture,ICD9CM_2010
01.02,Ventriculopuncture through previously implanted catheter,ICD9CM_2010
01.09,Other cranial puncture,ICD9CM_2010
01.1,"Diagnostic procedures on skull, brain, and cerebral meninges",ICD9CM_2010
01.10,Intracranial pressure monitoring,ICD9CM_2010
01.11,Closed (percutaneous) (needle) biopsy of cerebral meninges,ICD9CM_2010
01.12,Open biopsy of cerebral meninges,ICD9CM_2010
01.13,Closed (percutaneous) (needle) biopsy of brain,ICD9CM_2010
01.14,Open biopsy of brain,ICD9CM_2010
01.15,Biopsy of skull,ICD9CM_2010
01.16,Intracranial oxygen monitoring,ICD9CM_2010
01.17,Brain temperature monitoring,ICD9CM_2010
